id,name,parent_company
1,biorad laboratories singapore pte ltd,Abbott Laboratories
2,abbott medical optics amo inc,Johnson & Johnson
3,starkey laboratories inc,Novartis Ag
4,anadolu tip teknoüretim pazi̇th i̇hrtic san aş,Independent
5,archem sağlik sanayi ticaret limited şirketi,Independent
6,arkray inc,Arkray Inc.
7,arrow international inc usa,Teleflex Incorporated
8,hansen medical inc,"Hill-Rom Holdings, Inc"
9,b braun melsungen gmbh,Ludwig G. Braun Gmbh U. Co. Kg
10,beckman coulter inc  brea,Danaher Corporation
11,becton dickinson  company limited ireland,"Becton, Dickinson And Company"
14,biomérieux inc usa,Compagnie Merieux Alliance
17,biomet inc,Zimmer Biomet Holdings
18,biomet sports medicine and trauma,Zimmer Biomet Holdings
19,boston scientific cork limited,Boston Scientific
20,boston scientific corporationstryker,Boston Scientific
21,codman us,Integra Lifesciences Holdings Corporation
22,cook incorporated usa,Cook Group Incorporated
23,cordis a cardinal health company,Cardinal Health
24,cordis cooperation,Cardinal Health
25,covidien plc,Medtronic Plc
27,fresenius medical care ag  co kgaa,Fresenius Se & Co Kgaa
28,greatbatch medical ltd,Integer Holdings Corporation
29,infopia co ltd,Osang Healthcare Co. Ltd.
30,international biophysics corporation,International Biophysics Corporation
31,intuitive surgical sàrl,Intuitive Surgical Inc
32,iris international iris,Danaher Corporation
33,johnson  johnson international ethicon,Johnson & Johnson
34,leonhard lang gmbh oraz,Leonhard Lang Gmbh
35,livanova canada corp,Livanova Plc
36,medel elektromedizinische gereate gmbh,Med-El Elektromedizinische Geräte Gesellschaft M.B.H.
37,medivance,"Becton, Dickinson And Company"
38,medtronic  icd,Medtronic Plc
40,micro therapeutics inc usa,Medtronic Plc
41,micro vention inc,Terumo Corp.
42,newdeal sas,Integra Lifesciences Holdings Corporation
43,oridion medikal 1987 ltd,Medtronic Plc
44,sacor inc,Oscor Inc.
45,philips medical systems nederland bv holanda,Philips
46,radiometer medical asp,Danaher Corporation
47,richard allan scientific,Thermo Fisher Scientific Inc
48,sekisui diagnostics pei inc,Sekisui Chemical Co. Ltd.
49,b braun medical limited,Terumo Corp.
50,siemens sa,Siemens Ag
51,siemens healthcare diagnostics products gmbh germany,Siemens Ag
54,siemens healthineers gmbh,Siemens Ag
55,smith  nephew inc asdd,Smith & Nephew Plc
56,sorin group italia srl  crf,Livanova Plc
57,pnn medical as,Sp Group A/S
58,stanmore implants worldwide limited,Stryker
59,stryker endoscopy,Stryker
60,stryker instruments,Stryker
61,stryker neurovascularcalif,Stryker
62,synthes  gmbh,Johnson & Johnson
63,teleflex medical usa,Teleflex Incorporated
64,terumo medical corporation elkton,Terumo Corp.
65,thermo fisher scientific  oxoid limited,Thermo Fisher Scientific Inc
66,trauson medical instrument co ltd,Stryker
67,trumpf medizin systeme gmbh  co kg alemania,"Hill-Rom Holdings, Inc"
68,verathon medical ulc,Roper Technologies Inc
69,william cook europe aps,Cook Group Incorporated
70,willy rüsch gmbh,Teleflex Incorporated
71,zimmer inc,Zimmer Biomet Holdings
72,3m canada company  3m health care,3M Company
74,3m espe dental products  3m deutschland gmbh  3m unitek corporation,3M Company
75,baxter health care pty ltd,3M Company
76,abbott  gmbh    co  kg  con  domicilio  en  alemania  imported by  abbott  laboratories  de colombia sa,Abbott Laboratories
77,abbott ireland diagnostics division  imported by  abbott  laboratories  de  colombia sa,Abbott Laboratories
78,abbott  laboratories  division  diagnostics    abbott laboratories  japan  co  ltd   imported by  abbott  laboratories  de colombia sa,Abbott Laboratories
79,abbott gmbh  co kg abbott molecular inc  imported by  abbott laboratories de colombia sa,Abbott Laboratories
80,abbott gmbhco kg  imported by  abbott  laboratories  de colombia sa,Abbott Laboratories
81,abbott gmbh  co kg,Abbott Laboratories
88,abbott laboratories  importer abbott laboratories de colombia sa,Abbott Laboratories
89,importer abbott laboratories de colombia sa,Abbott Laboratories
90,abbott laboratories de colombia sa  brand technopath,Abbott Laboratories
91,abbott laboratories division diagnostics usa,Abbott Laboratories
94,abbott molecular inc  imported by  abbott  laboratories  de colombia,Abbott Laboratories
96,abbott vascular inc,Abbott Laboratories
97,abon biopharm  importer alere colombia sa,Abbott Laboratories
98,alere,Abbott Laboratories
99,alere san diego inc,Abbott Laboratories
103,alere technologies  importer biosystems sa alere colombia sa,Abbott Laboratories
106,biosite incorporated  importer biosystems sa alere colombia sa,Abbott Laboratories
107,evalve inc,Abbott Laboratories
110,orgenics ltda,Abbott Laboratories
111,st jude medical  st jude medical operations m sdn bhd  st  jude  medical  cardiac  rhythm  management  division,Abbott Laboratories
113,st jude medical france,Abbott Laboratories
114,st jude medical inc  aga medical corporation,Abbott Laboratories
115,st jude medical ab  st jude medical  st jude medical operations sdn bhd  st jude medical cardiac rhythm management division,Abbott Laboratories
117,st jude medical cardiac rhythm managment division  st jude medical operations  st jude medical puerto rico llc,Abbott Laboratories
118,st jude medical puerto rico llc  advanced neuromodulation systems inc  st jude medical,Abbott Laboratories
119,st jude medical inc cardiac rhythm management division,Abbott Laboratories
120,thoratec corporation,Abbott Laboratories
121,unknown,Abbott Laboratories
122,accuracy incorporated,Accuray Inc
124,acutronic medical systems agfabrik im schiffli,Acutronic Medical Produktion Ag
125,baxter health care pty ltd,Agfa-Gevaert Nv
128,cepheid ab  imported byrochem  biocare  colombia  sas,"Agilent Technologies, Inc."
130,dako denmark as  dako north america  importer  rochem biocare colombia sa s,"Agilent Technologies, Inc."
131,dako denmark a  s,"Agilent Technologies, Inc."
132,dako inc  importer rochem biocare,"Agilent Technologies, Inc."
133,darko north america inc,"Agilent Technologies, Inc."
134,dako north america inc  imported by equimed ltda  rochem biocare colombia sas,"Agilent Technologies, Inc."
135,zeltiq aesthetics inc,Allergan Public Limited Company
136,annar diagnostica,Annar Diagnostica Import S A S
137,annar diagnostica import sas  brand diasource,Annar Diagnostica Import S A S
138,ansell lanka pvt ltd  ansell healthcare products llc  ansell np sdn bhd,Ansell Limited
139,applied medical resources corporation,Applied Medical Corporation
140,arcadophta sarl,Arcadophta
141,terumo medical corporation elkton,Asahi Kasei Corp.
142,balt extrusion sa,Balt Extrusion
143,bausch  lomb incorporated  usa,"Bausch Health Cos., Inc."
144,baxter healthcare corporation sa,Baxter International
145,baxter healthcare corporation  baxter healthcare sa,Baxter International
147,baxter healthcare sa  baxter healthcare corporation,Baxter International
148,baxter hospitalar  ltda,Baxter International
149,gambro lundia ab,Baxter International
151,gambro renal products inc,Baxter International
152,synovis surgical innovations inc,Baxter International
153,bayer medical care inc,Bayer Ag
154,baylis  harding co,Baylis & Harding Public Limited Company
155,bard peripheral vascular inc bpv,"Becton, Dickinson And Company"
156,bd medical  diabetes care  becton dickinson  co,"Becton, Dickinson And Company"
157,beckton dickinson  importer  beckton dickinson colombia ltda,"Becton, Dickinson And Company"
158,becton  dickinson    company  con  domicilio  en  estados unidos de américa  imported by  becton  dickinson  de  colombia  ltda,"Becton, Dickinson And Company"
160,becton  dickinson  and  company  bd  bisociences  importer  becton  dickinson  de  colombia  ltda,"Becton, Dickinson And Company"
161,becton dickinson  co  becton dickinson  company  tokuyama sekisui co ltd  becton dickinson  co  becton dickinson  company,"Becton, Dickinson And Company"
165,becton dickinson and company  becton dickinson infusion theraphy systems inc,"Becton, Dickinson And Company"
166,becton dickinson and company  tripath imaging inc,"Becton, Dickinson And Company"
168,caesarea medical electronics cme limited,"Becton, Dickinson And Company"
169,cr bard inc  bard peripheral vascular inc,"Becton, Dickinson And Company"
170,geneohm sciences canada inc  importer  becton dickinson de colombia ltda,"Becton, Dickinson And Company"
171,carefusion  productos urólogos de méxico sa de cv  carefusion 211 inc dba carefusion,"Becton, Dickinson And Company"
172,carefusion uk 232,"Becton, Dickinson And Company"
174,carefusion uk switzrland 317 sárl  plexus services ro srl  care fusion uk 305 ltd  carefusion uk 232,"Becton, Dickinson And Company"
176,bedfont scientific limited,Bedfont Scientific Limited
177,bentley innomed gmbh,Bentley Innomed Gmbh
178,bio rad  imported by  quik quality is the key sas,Bio-Rad Laboratories Inc
179,bio rad laboratories inc  imported by  quik quality is the key sas,Bio-Rad Laboratories Inc
180,biorad y diamed gmbh  imported by biocientifica ltda,Bio-Rad Laboratories Inc
181,bioteck industria comercio,Bioteck Indústria Comércio Importação E Exportação De Implantes Bio Absorvíveis Ltda
183,boston scientific corporation  cardiac pacemakers incorporated,Boston Scientific
185,varian medical systems beijing co ltd,Bracco Spa
186,brainlag ag,Brainlab Ag
189,brainlab sales gmbh  brainlab ag,Brainlab Ag
190,buhlmann laboratories ag  imported by velez lab  y cia sa,Bühlmann Laboratories Ag
191,cair lgl,Cair Lgl
192,toshiba medical systems corporation  gemss medical systems co ltd  toshiba dalian co ltd,Canon Inc
193,toshiba medical systems corporation  toshiba corporation medical sistems company,Canon Inc
194,toshiba medical systems manufacturing asia sdn bhd  toshiba medical systems corporation,Canon Inc
195,cardiac science corporation inc,Cardiac Science Corporation
196,cordis europa nv  cordis corporation,Cardinal Health
197,carl zeiss meditech inc,Carl-Zeiss-Stiftung
198,cereplas,Cereplas
199,changzhou shuangma medical devices co ltd,Changzhou Hengjie Medical Devices Co. Ltd
200,the binding site group limited  importer quimiolab  ltda,Cidron Iugo Sarl
201,sunrise medical limited  sunrise medical us llc  sunrise medical tecnologias sa de cv  sunrise medical gmbh  co kg  zhongshan ae machinery industry coltd  sunrise medical sl,Cidron Ollopa Investment B.V.
202,codan argus ag,Codan Argus Ag
204,koloplast a  s,Coloplast A/S
205,biofire diagnostics llc  importer biomerieux colombia sas,Compagnie Merieux Alliance
207,biomerieux brasil y francia  importer biomerieux colombia ltda,Compagnie Merieux Alliance
211,biomérieux brasil ltda,Compagnie Merieux Alliance
227,biomerieux sa  biomerieux italia spa,Compagnie Merieux Alliance
231,biomerieux inc  bio merieux colombia sas,Compagnie Merieux Alliance
232,biomerieux inc  biomerieux bv,Compagnie Merieux Alliance
234,biomeriux sa con domicilio en francia  imported by biomerieux colombia sas,Compagnie Merieux Alliance
236,terumo medical corporation elkton,Conmed Corp.
237,conmed corporation  conmed electrosurgery  conmed corporation  consolidated medical equipment company,Conmed Corp.
238,conmed endoscopic technologies inc,Conmed Corp.
239,cook endoscopy  cook irland,Cook Group Incorporated
240,cook ireland ltd  william cook europe spa,Cook Group Incorporated
241,william a cook australia pty ltd,Cook Group Incorporated
243,wilson cook medical  cook endoscopy,Cook Group Incorporated
244,corin limited,Corin Orthopaedics Holdings Limited
245,corin limited  lars,Corin Orthopaedics Holdings Limited
